37,28,27,11,41,23,2,1
11,9,14,29,7,15,17,23
9,37,32,41,40,16,28,30
6,10,18,32,33,37,21,23
14,16,24,34,41,44,21,30
5,10,30,32,34,42,19,45
1,2,18,24,36,43,9,31
3,14,32,37,42,45,17,20
1,5,14,26,32,33,8,37
18,25,31,32,37,39,12,34
5,26,29,34,37,41,31,42
6,7,19,21,26,38,13,36
4,8,21,29,30,37,38,45
8,24,27,36,39,41,22,26
2,11,12,23,42,43,7,44
1,12,24,26,37,41,25,45
7,8,22,28,34,37,1,23
2,8,11,12,25,32,16,22
6,22,23,24,33,36,18,34
2,8,13,17,30,35,5,34
4,15,16,18,35,45,11,17
4,29,32,34,38,41,11,27
4,16,23,31,39,43,17,18
4,6,9,11,13,40,18,20
5,10,25,36,39,45,8,40
8,9,10,14,39,42,12,31
1,6,15,21,43,44,34,42
1,4,9,10,29,42,7,17
1,9,13,32,33,34,8,15
4,12,13,15,29,45,2,27
8,11,16,24,30,34,18,21
4,7,19,20,21,22,16,17
11,27,31,34,39,45,5,28
7,24,27,30,39,44,5,38
9,10,11,23,32,40,5,17
11,19,30,37,39,45,3,21
2,9,11,17,18,38,37,41
11,20,23,35,42,45,8,38
4,7,8,24,32,39,17,34
3,8,28,36,37,41,9,16
6,14,22,24,35,44,10,39
4,8,10,12,15,39,37,45
12,14,22,29,31,45,11,36
9,12,14,23,31,43,13,29
3,6,12,18,31,35,9,34
12,19,26,29,39,45,13,15
3,6,7,9,22,42,13,16
7,17,21,24,35,41,5,23
5,7,11,12,24,40,15,28
17,20,23,33,37,45,18,22
9,20,25,30,32,40,34,35
5,7,10,14,34,41,4,44
4,7,9,21,23,25,6,11
2,8,11,31,32,45,14,41
3,6,10,18,21,39,41,43
2,3,6,23,41,42,24,39
6,16,34,35,37,42,18,40
1,15,20,29,35,38,8,31
14,15,24,31,33,39,4,40
8,12,17,21,26,42,13,35
3,20,24,32,38,40,5,31
8,11,19,23,35,37,34,42
6,23,30,37,43,44,1,45
10,15,17,31,37,42,7,11
6,16,18,20,25,36,33,39
1,11,22,27,34,37,43,44
10,11,19,21,39,45,25,35
7,8,13,17,23,25,31,42
15,17,19,28,32,33,2,24
5,9,13,23,38,41,4,43
15,20,25,27,35,39,9,21
6,7,11,13,17,45,23,43
3,8,10,20,36,42,9,45
3,23,31,33,39,45,17,20
11,12,14,15,23,37,20,42
1,8,19,31,35,40,15,38
1,4,6,15,21,27,19,41
2,8,13,21,22,33,10,27
10,24,32,34,38,43,6,25
4,29,35,37,40,41,21,27
2,16,18,19,30,40,9,28
3,7,16,23,26,34,17,35
1,5,18,20,23,34,9,35
13,35,36,37,42,43,5,15
2,9,10,11,22,37,6,40
8,9,22,23,34,40,13,17
1,12,14,21,39,43,19,32
3,11,19,33,38,42,13,39
3,17,20,24,27,29,9,18
8,14,15,20,32,43,31,35
6,19,21,30,31,42,15,38
1,19,25,29,36,44,21,35
6,12,27,35,37,39,2,19
8,24,31,39,44,45,21,41
3,5,27,34,41,45,10,24
9,17,20,21,25,33,4,19
17,22,26,29,32,40,12,21
11,15,28,30,33,39,19,35
4,16,26,29,30,32,37,43
9,10,16,22,26,32,17,38
2,7,17,26,27,38,1,19
18,22,24,34,40,42,19,37
13,17,26,28,33,44,18,38
6,28,29,33,36,40,26,43
5,6,15,18,36,43,24,29
8,10,17,23,26,34,36,41
14,29,31,33,44,45,19,26
17,19,21,22,23,30,32,43
6,19,34,35,40,43,22,45
3,9,13,19,24,28,29,35
5,11,12,22,28,36,1,9
13,16,18,32,33,41,9,19
12,16,26,27,30,40,13,15
2,14,30,32,35,38,10,45
22,23,28,30,34,38,16,20
2,7,27,33,37,42,10,20
1,24,26,32,34,36,7,27
12,14,30,34,40,41,15,27
5,13,15,28,37,45,1,43
1,11,24,32,33,44,20,35
2,7,16,28,30,42,22,35
6,7,9,13,23,27,1,33
5,15,16,19,20,41,4,21
2,4,9,26,31,41,18,25
5,14,18,22,31,42,1,8
2,4,8,31,32,44,35,36
5,13,17,33,38,44,22,35
7,8,20,22,26,42,14,16
1,21,31,38,39,41,6,43
2,4,12,23,24,35,15,37
8,9,13,19,22,32,15,25
15,17,22,27,37,40,2,4
11,16,26,32,39,42,6,30
4,6,24,35,42,45,36,38
3,5,9,26,35,41,28,45
1,3,4,22,42,43,24,25
3,6,8,10,12,24,36,45
3,6,15,20,30,31,2,26
1,6,8,10,29,40,31,42
4,12,14,17,22,33,25,28
7,9,20,22,34,45,10,12
5,7,14,16,17,44,26,31
2,5,11,21,30,32,25,42
9,16,26,35,39,41,13,33
14,16,35,38,40,43,1,33
1,9,11,24,32,41,15,38
10,18,20,34,35,37,7,41
2,21,27,37,39,42,7,11
6,15,23,26,27,45,2,29
1,3,7,8,15,35,5,10
4,13,19,26,27,34,6,15
3,23,30,31,38,45,19,40
5,8,12,14,16,38,3,17
5,12,24,26,34,37,2,3
3,11,21,24,29,38,36,40
1,7,22,28,36,42,11,14
1,8,14,23,26,41,12,33
12,27,28,31,36,39,6,24
2,3,13,32,37,38,29,36
13,16,20,25,40,44,4,28
2,7,9,16,33,43,20,34
13,16,29,34,35,41,12,45
1,11,17,18,34,42,19,43
8,9,23,29,38,42,13,17
6,9,16,32,37,44,11,12
2,18,21,22,35,43,10,37
22,26,27,29,32,38,30,42
17,31,33,35,39,42,36,41
15,19,24,28,35,41,23,30
9,11,17,19,22,29,14,21
3,17,29,32,34,38,12,28
3,10,18,19,22,27,41,42
3,15,19,22,25,44,1,42
1,21,25,30,32,45,31,38
4,11,16,17,19,26,15,25
7,21,22,35,38,39,34,44
10,14,16,18,31,43,4,35
3,15,17,23,34,38,18,31
23,24,29,39,40,41,5,37
5,10,11,14,26,27,35,37
11,19,22,33,36,39,7,18
3,7,10,16,37,43,20,23
10,19,26,27,31,33,9,43
8,13,27,40,41,42,3,4
3,7,28,33,34,40,1,38
3,12,29,30,31,38,22,45
8,11,15,16,23,29,7,25
3,4,11,21,24,39,34,40
17,19,24,36,38,44,2,39
1,10,17,24,29,33,5,26
10,17,19,24,36,38,22,40
3,10,12,24,34,35,38,40
11,17,18,20,37,41,15,36
11,16,33,38,40,42,12,45
1,13,19,31,37,39,5,33
18,23,28,30,35,37,4,33
1,9,31,34,39,40,17,37
1,13,16,25,30,32,17,22
10,16,20,22,30,38,14,42
7,14,25,30,37,45,6,34
11,22,28,31,32,34,14,21
1,10,25,27,28,36,14,18
1,2,10,12,21,42,13,40
2,7,28,29,31,45,6,38
18,21,26,39,41,43,33,35
6,8,16,17,27,33,26,28
4,12,20,33,34,36,10,23
4,11,18,20,22,41,12,44
14,29,32,33,40,43,12,24
7,20,27,38,39,41,9,43
1,8,10,14,23,36,7,15
7,14,15,17,36,41,20,24
4,9,10,11,32,33,23,29
6,19,23,24,28,35,29,38
1,6,9,37,38,39,11,45
3,5,28,32,38,44,25,27
11,13,23,27,35,38,5,8
2,8,12,18,30,42,14,39
5,16,18,22,36,41,1,7
15,18,23,30,41,44,1,5
5,14,21,33,35,42,7,40
5,10,11,12,29,41,13,21
8,18,24,39,41,42,5,16
1,22,24,36,39,42,12,41
6,9,20,25,27,31,2,36
1,11,18,29,35,44,28,38
2,6,8,36,39,45,5,13
17,27,28,32,34,44,8,22
7,8,23,24,27,33,15,41
1,16,21,26,39,41,2,6
9,14,16,18,20,36,7,19
16,18,19,21,22,25,4,41
4,8,10,12,38,39,6,13
5,8,26,27,31,33,11,22
9,29,32,33,37,39,11,27
1,8,12,15,31,42,32,36
16,17,21,27,29,43,37,40
5,10,38,39,40,43,4,24
13,19,20,21,25,37,27,33
18,19,26,27,38,43,15,22
9,11,13,16,17,21,33,38
1,5,12,21,24,45,2,15
8,18,19,36,38,42,4,39
8,10,11,15,26,45,28,37
5,11,15,23,35,45,17,43
3,18,20,24,26,34,32,42
2,9,17,30,33,39,22,41
5,9,14,29,41,43,15,37
23,28,32,33,35,39,5,42
2,6,23,25,26,43,7,9
5,24,25,27,31,38,18,20
7,10,20,24,29,37,32,42
6,18,19,26,30,31,16,25
1,21,22,23,38,44,17,20
3,5,12,14,35,36,15,42
9,13,16,17,32,37,6,14
5,14,15,38,42,45,8,22
3,6,10,34,37,40,15,18
1,2,7,22,34,40,15,26
2,9,10,13,16,25,17,19
9,21,26,29,32,44,2,28
1,3,7,15,44,45,26,34
19,22,24,25,42,43,4,14
5,10,14,16,36,43,18,19
5,15,18,29,31,35,9,36
6,17,19,26,37,38,2,10
1,8,15,20,23,44,11,18
12,14,24,25,35,38,36,39
21,27,29,31,37,40,6,11
2,4,14,15,16,24,18,33
6,11,12,32,40,45,10,20
1,6,18,23,29,43,3,35
1,14,20,25,26,40,3,24
9,10,18,31,35,41,16,26
2,8,12,22,26,45,1,38
7,10,22,25,26,36,30,43
7,14,17,19,24,37,2,23
10,21,25,29,38,40,7,22
6,9,21,33,39,42,19,40
6,12,14,17,31,38,32,34
10,22,28,34,42,45,3,11
13,29,33,35,38,43,15,41
11,12,17,31,42,44,3,19
7,9,10,17,18,38,20,35
6,7,8,17,23,35,29,30
8,15,23,27,43,44,11,35
10,19,23,30,33,39,17,34
26,32,33,35,38,41,27,45
2,4,22,31,34,44,25,27
2,21,29,35,36,45,40,44
1,5,14,15,19,30,20,28
3,8,13,30,31,35,17,25
2,7,16,23,27,44,25,28
11,12,13,23,24,27,22,31
1,4,7,11,32,40,26,29
2,5,9,14,31,34,7,13
1,6,16,19,36,45,5,11
3,12,31,32,35,44,13,14
6,9,27,30,35,37,4,14
8,11,13,21,23,34,24,42
1,5,26,28,39,45,12,44
14,17,28,30,34,36,44,45
8,14,16,23,25,44,2,9
4,6,18,31,36,44,1,10
6,19,26,28,40,42,33,36
18,19,27,30,38,43,16,21
4,7,17,22,26,30,41,44
1,13,17,38,40,44,22,31
13,22,30,34,42,45,39,44
6,13,18,25,34,39,9,42
7,13,15,18,31,34,17,27
1,19,20,22,32,34,3,33
6,8,13,40,44,45,2,16
5,10,20,29,41,45,7,26
12,21,28,35,40,42,4,9
16,17,21,22,23,44,2,30
11,15,20,27,38,45,18,42
3,9,23,30,39,45,7,17
7,11,14,16,26,45,34,35
1,7,11,20,21,32,22,26
28,30,31,34,42,43,4,25
11,22,27,32,42,44,7,39
1,11,22,25,41,44,9,23
11,18,22,24,26,33,19,28
6,10,18,19,32,36,1,13
1,5,13,29,32,43,38,40
5,19,25,30,33,34,1,2
12,14,20,22,24,44,6,32
9,21,27,30,32,35,20,31
15,17,18,24,42,45,35,36
6,10,11,15,29,33,5,25
1,16,21,30,35,40,2,7
8,9,16,26,39,41,28,31
3,10,23,29,34,37,1,24
11,13,18,21,24,30,15,27
3,15,26,32,40,44,16,41
3,7,25,27,32,38,21,28
16,20,24,32,34,37,4,45
16,20,23,28,35,39,4,27
1,10,15,23,36,43,2,34
1,10,15,31,36,39,11,32
9,12,15,18,28,34,1,44
7,22,29,33,36,44,5,45
21,25,28,30,33,37,3,36
3,18,41,42,43,45,2,21
4,16,22,34,36,38,3,26
6,10,19,28,37,40,8,33
14,17,30,37,41,43,5,38
9,12,21,22,30,41,20,27
7,19,20,22,40,41,5,35
4,11,16,18,31,40,17,38
4,5,9,24,34,39,15,29
8,17,18,29,36,42,11,33
5,20,25,33,34,36,27,42
10,11,18,26,39,44,15,16
18,19,27,29,38,45,32,35
1,12,14,16,24,40,20,31
1,3,12,18,22,38,34,40
9,23,24,34,38,43,13,37
15,20,23,33,39,42,22,36
16,22,35,37,39,42,29,43
2,8,21,22,31,40,28,30
2,3,6,21,26,38,22,35
6,14,22,26,35,37,10,31
11,12,18,25,34,45,13,37
3,8,9,12,18,27,4,39
5,7,9,13,18,27,25,42
7,23,28,32,36,40,39,41
4,5,13,18,25,34,23,31
8,16,23,34,42,45,3,44
11,14,16,37,41,45,1,32
6,12,15,19,23,31,8,22
27,32,33,37,40,45,22,38
4,7,10,15,22,32,6,38
1,3,7,12,24,32,2,10
13,17,21,25,33,38,11,18
5,12,16,20,31,41,10,29
4,7,10,17,28,31,12,23
1,2,13,20,39,44,4,7
4,10,25,32,39,45,22,26
3,12,26,27,38,43,16,44
1,21,34,35,37,42,11,26
5,11,13,14,37,39,12,32
4,10,13,21,33,34,14,30
1,3,14,24,31,35,8,17
2,20,22,24,27,30,10,26
3,10,27,32,34,36,20,26
1,3,11,29,36,42,26,33
3,6,18,21,23,41,16,30
7,11,12,23,29,36,9,33
5,9,17,24,32,43,21,31
8,10,16,24,28,31,2,4
1,3,8,16,28,37,5,30
2,11,20,26,39,45,19,33
3,5,18,21,22,38,27,45
5,17,22,26,30,42,19,36
2,8,25,27,28,43,6,32
4,26,33,39,40,43,32,41
5,20,25,28,29,45,21,30
20,24,33,41,44,45,12,29
1,3,11,13,22,24,29,30
2,18,20,25,30,36,5,11
3,10,31,40,44,45,37,38
5,9,25,34,35,36,29,42
3,6,11,24,33,34,1,4
6,7,8,11,31,40,22,30
15,18,28,32,40,42,7,14
1,9,17,18,24,34,26,36
6,9,10,11,35,37,15,31
6,10,21,28,37,42,14,39
4,6,17,31,38,39,23,37
10,14,19,20,27,37,13,29
1,15,18,29,37,40,8,30
2,7,10,13,23,24,8,21
1,5,7,8,15,39,30,34
3,6,7,21,22,43,14,39
5,12,13,17,22,26,4,44
4,5,16,29,32,44,19,37
16,17,21,29,38,42,11,27
5,13,27,31,37,42,18,30
11,18,26,27,37,39,5,30
4,13,18,27,30,36,5,32
6,12,23,26,28,36,27,43
1,13,24,28,29,33,14,20
6,10,15,16,17,29,18,33
7,8,13,20,23,32,26,34
3,11,13,29,38,42,15,19
14,23,24,28,41,45,5,43
8,15,25,30,31,44,4,14
15,17,29,30,32,39,21,41
8,10,22,27,39,44,20,25
8,20,36,38,43,45,16,29
15,29,31,32,33,39,12,22
16,20,23,36,38,43,13,19
1,2,31,38,39,45,26,34
10,15,16,26,30,45,12,21
4,13,27,29,31,32,34,36
6,15,18,23,35,43,16,44
5,7,12,20,29,42,11,30
4,14,16,18,26,27,5,10
3,7,13,21,24,30,4,27
1,24,34,40,44,45,16,20
13,16,17,18,25,29,26,27
2,11,12,16,24,39,42,43
7,9,17,26,42,43,24,29
3,6,24,40,41,44,25,26
1,11,14,33,37,45,22,41
5,10,11,24,39,41,3,18
16,22,24,35,37,42,29,36
9,19,30,33,41,44,35,36
9,15,19,26,33,36,4,45
10,12,30,34,42,44,1,32
1,10,16,30,33,41,28,32
4,19,24,25,27,34,33,41
18,21,35,38,39,43,13,27
7,16,20,33,39,43,3,41
6,8,9,19,21,41,2,34
6,11,16,17,21,44,18,40
1,5,13,36,38,39,4,23
18,28,31,36,41,42,13,27
1,5,14,23,31,42,10,44
4,9,13,37,42,43,1,23
16,19,20,22,27,35,23,24
9,15,21,24,30,42,1,2
11,12,17,36,38,44,9,31
5,7,8,9,27,34,23,31
3,11,13,21,42,44,26,32
6,20,22,29,32,44,38,41
1,6,16,20,25,36,24,33
1,12,22,27,38,40,20,32
1,5,10,14,29,33,9,22
4,10,17,27,34,43,18,26
2,14,24,37,40,44,18,33
11,29,30,40,41,43,2,4
2,3,15,16,18,24,25,31
23,26,27,30,31,41,16,38
7,10,12,26,30,36,15,32
5,7,12,28,40,45,20,37
4,8,13,27,28,42,6,26
1,3,15,19,42,44,36,37
5,7,14,20,31,39,18,27
1,17,20,40,42,44,5,30
1,12,28,31,32,34,8,24
11,13,16,19,27,35,24,36
1,19,20,36,38,41,10,29
1,13,20,26,37,45,22,27
11,13,28,37,43,45,26,27
8,9,22,25,36,42,28,33
10,13,16,22,39,45,2,9
1,12,14,19,37,41,7,23
12,20,24,32,39,45,3,29
3,7,17,23,25,26,10,15
13,18,20,21,28,45,23,41
1,22,24,29,36,39,6,45
10,21,22,26,29,41,25,27
4,12,18,19,29,33,17,43
13,33,36,38,39,43,20,41
3,19,27,38,40,42,12,17
4,13,33,35,39,45,14,29
8,12,15,25,26,45,23,28
6,27,28,32,39,40,1,34
6,15,17,21,22,42,18,30
11,16,32,40,41,45,7,28
30,35,36,37,42,43,5,14
1,9,10,13,27,39,15,28
7,14,23,27,38,40,4,8
5,6,10,28,32,40,29,37
17,22,24,25,26,40,13,30
1,3,10,17,20,35,24,34
4,9,14,22,42,45,11,21
3,7,28,31,38,41,15,37
24,27,30,37,43,45,21,22
5,7,20,30,31,39,9,22
5,8,15,32,36,39,9,42
2,16,20,27,28,32,7,8
2,5,23,32,40,43,34,35
9,13,16,21,33,44,11,20
5,20,27,31,37,42,3,38
3,9,33,34,39,41,8,38
6,8,11,21,27,31,19,30
1,13,21,27,34,37,15,45
1,2,5,16,19,42,10,37
3,11,20,28,34,40,25,39
1,11,12,15,25,36,17,33
15,18,26,28,39,41,11,42
12,15,16,37,42,45,6,9
5,27,33,35,42,45,4,16
8,18,21,23,27,37,6,22
1,14,24,26,30,37,10,20
6,25,27,29,38,41,43,45
1,3,9,12,22,29,18,37
5,9,14,27,37,40,18,38
3,8,19,26,29,43,7,11
11,22,25,26,31,42,1,8
13,17,18,20,21,43,5,36
1,4,15,16,17,21,40,42
7,8,10,25,28,42,35,39
12,15,30,37,40,44,16,45
1,15,16,20,31,36,2,38
3,6,14,16,25,31,9,35
16,30,32,35,38,41,39,45
2,12,13,20,30,35,1,7
8,15,18,33,40,43,14,25
7,10,28,34,41,44,8,14
2,4,6,9,37,44,18,23
19,20,21,23,25,43,2,8
4,29,33,40,41,43,2,3
2,3,12,13,16,30,5,17
4,24,25,29,32,43,26,38
7,10,12,28,44,45,3,35
11,13,18,20,42,43,12,30
6,8,13,29,34,39,9,20
1,6,16,17,18,34,13,33
8,29,30,33,36,41,9,23
5,18,29,31,44,45,12,38
6,12,25,36,39,43,8,18
4,11,14,16,19,25,18,34
2,6,11,15,31,34,16,30
